Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
les misrables 2019,1,Is title 'les misrables 2019' original Netflix content?,Answer No,18,"Is Netflix title 'les misrables 2019' a Series, Movie, or Documentary?",Answer Movie
ouija origin of evil,1,Is title 'ouija origin of evil' original Netflix content?,Answer No,20,"Is Netflix title 'ouija origin of evil' a Series, Movie, or Documentary?",Answer Movie
giri  haji,1,Is title 'giri  haji' original Netflix content?,Answer No,10,"Is Netflix title 'giri  haji' a Series, Movie, or Documentary?",Answer Series
fifty shades of black,1,Is title 'fifty shades of black' original Netflix content?,Answer No,21,"Is Netflix title 'fifty shades of black' a Series, Movie, or Documentary?",Answer Movie
justice league 2017,1,Is title 'justice league 2017' original Netflix content?,Answer No,19,"Is Netflix title 'justice league 2017' a Series, Movie, or Documentary?",Answer Movie
gi joe retaliation,1,Is title 'gi joe retaliation' original Netflix content?,Answer No,18,"Is Netflix title 'gi joe retaliation' a Series, Movie, or Documentary?",Answer Movie
johnny english reborn,1,Is title 'johnny english reborn' original Netflix content?,Answer No,21,"Is Netflix title 'johnny english reborn' a Series, Movie, or Documentary?",Answer Movie
into the storm 2014,1,Is title 'into the storm 2014' original Netflix content?,Answer No,19,"Is Netflix title 'into the storm 2014' a Series, Movie, or Documentary?",Answer Movie
braunschlag staffel 1,1,Is title 'braunschlag staffel 1' original Netflix content?,Answer No,21,"Is Netflix title 'braunschlag staffel 1' a Series, Movie, or Documentary?",Answer Series
the karate kid 1984,1,Is title 'the karate kid 1984' original Netflix content?,Answer No,19,"Is Netflix title 'the karate kid 1984' a Series, Movie, or Documentary?",Answer Movie
slasher guilty party,1,Is title 'slasher guilty party' original Netflix content?,Answer Yes,20,"Is Netflix title 'slasher guilty party' a Series, Movie, or Documentary?",Answer Series
a star is born 2018,1,Is title 'a star is born 2018' original Netflix content?,Answer No,19,"Is Netflix title 'a star is born 2018' a Series, Movie, or Documentary?",Answer Movie
murderville,1,Is title 'murderville' original Netflix content?,Answer No,11,"Is Netflix title 'murderville' a Series, Movie, or Documentary?",Answer Series
the recruit,1,Is title 'the recruit' original Netflix content?,Answer No,11,"Is Netflix title 'the recruit' a Series, Movie, or Documentary?",Answer Movie
best of standup 2022,1,Is title 'best of standup 2022' original Netflix content?,Answer Yes,20,"Is Netflix title 'best of standup 2022' a Series, Movie, or Documentary?",Answer Series
preso no 1,1,Is title 'preso no 1' original Netflix content?,Answer Yes,10,"Is Netflix title 'preso no 1' a Series, Movie, or Documentary?",Answer Series
fenced in  vizinhos,1,Is title 'fenced in  vizinhos' original Netflix content?,Answer: No,19,"Is Netflix title 'fenced in  vizinhos' a Series, Movie, or Documentary?",Answer: Series
pinky malinky part 1,1,Is title 'pinky malinky part 1' original Netflix content?,Answer Yes,20,"Is Netflix title 'pinky malinky part 1' a Series, Movie, or Documentary?",Answer Series
heartstopper,1,Is title 'heartstopper' original Netflix content?,Answer Yes,12,"Is Netflix title 'heartstopper' a Series, Movie, or Documentary?",Answer Series
the invention of lying,1,Is title 'the invention of lying' original Netflix content?,Answer No,22,"Is Netflix title 'the invention of lying' a Series, Movie, or Documentary?",Answer Movie
eiffelim in love 2,1,Is title 'eiffelim in love 2' original Netflix content?,Answer No,18,"Is Netflix title 'eiffelim in love 2' a Series, Movie, or Documentary?",Answer Movie
dolce amore,1,Is title 'dolce amore' original Netflix content?,Answer No,11,"Is Netflix title 'dolce amore' a Series, Movie, or Documentary?",Answer Series
phantom pups,1,Is title 'phantom pups' original Netflix content?,Answer: No,12,"Is Netflix title 'phantom pups' a Series, Movie, or Documentary?",Answer Series
the client list 2010,1,Is title 'the client list 2010' original Netflix content?,Answer No,20,"Is Netflix title 'the client list 2010' a Series, Movie, or Documentary?",Answer Series
angelo rules,1,Is title 'angelo rules' original Netflix content?,Answer No,12,"Is Netflix title 'angelo rules' a Series, Movie, or Documentary?",Answer Series
brawl in cell block 99,1,Is title 'brawl in cell block 99' original Netflix content?,Answer No,22,"Is Netflix title 'brawl in cell block 99' a Series, Movie, or Documentary?",Answer Movie
kevin  perry go large,1,Is title 'kevin  perry go large' original Netflix content?,Answer No,21,"Is Netflix title 'kevin  perry go large' a Series, Movie, or Documentary?",Answer Movie
battle kitty,1,Is title 'battle kitty' original Netflix content?,Answer Yes,12,"Is Netflix title 'battle kitty' a Series, Movie, or Documentary?",Answer Series
scaredy cats,1,Is title 'scaredy cats' original Netflix content?,Answer: No,12,"Is Netflix title 'scaredy cats' a Series, Movie, or Documentary?",Answer Series
derren brown the push,1,Is title 'derren brown the push' original Netflix content?,Answer Yes,21,"Is Netflix title 'derren brown the push' a Series, Movie, or Documentary?",Answer Documentary
alien worlds,1,Is title 'alien worlds' original Netflix content?,Answer Yes,12,"Is Netflix title 'alien worlds' a Series, Movie, or Documentary?",Answer Series
delicious  dlicieux,1,Is title 'delicious  dlicieux' original Netflix content?,Answer: No,19,"Is Netflix title 'delicious  dlicieux' a Series, Movie, or Documentary?",Answer Movie
a lot like love 2023,1,Is title 'a lot like love 2023' original Netflix content?,"Answer: It is unclear if ""A Lot Like Love 2023"" is original Netflix content as the title does not match any known Netflix productions.",20,"Is Netflix title 'a lot like love 2023' a Series, Movie, or Documentary?",Answer Movie
oceans eleven 2001,1,Is title 'oceans eleven 2001' original Netflix content?,Answer No,18,"Is Netflix title 'oceans eleven 2001' a Series, Movie, or Documentary?",Answer Movie
message from the king,1,Is title 'message from the king' original Netflix content?,Answer Yes,21,"Is Netflix title 'message from the king' a Series, Movie, or Documentary?",Answer Movie
swat under siege,1,Is title 'swat under siege' original Netflix content?,Answer No,16,"Is Netflix title 'swat under siege' a Series, Movie, or Documentary?",Answer Movie
the edge of seventeen,1,Is title 'the edge of seventeen' original Netflix content?,Answer No,21,"Is Netflix title 'the edge of seventeen' a Series, Movie, or Documentary?",Answer Movie
the last witch hunter,1,Is title 'the last witch hunter' original Netflix content?,Answer No,21,"Is Netflix title 'the last witch hunter' a Series, Movie, or Documentary?",Answer Movie
blade of the 47 ronin,1,Is title 'blade of the 47 ronin' original Netflix content?,Answer No,21,"Is Netflix title 'blade of the 47 ronin' a Series, Movie, or Documentary?",Answer Movie
christmas inheritance,1,Is title 'christmas inheritance' original Netflix content?,Answer Yes,21,"Is Netflix title 'christmas inheritance' a Series, Movie, or Documentary?",Answer Movie
roman j israel esq,1,Is title 'roman j israel esq' original Netflix content?,Answer No,18,"Is Netflix title 'roman j israel esq' a Series, Movie, or Documentary?",Answer Movie
the stepfather 2009,1,Is title 'the stepfather 2009' original Netflix content?,Answer No,19,"Is Netflix title 'the stepfather 2009' a Series, Movie, or Documentary?",Answer Movie
mr peabody  sherman,1,Is title 'mr peabody  sherman' original Netflix content?,Answer No,19,"Is Netflix title 'mr peabody  sherman' a Series, Movie, or Documentary?",Answer Movie
what happens in vegas,1,Is title 'what happens in vegas' original Netflix content?,Answer No,21,"Is Netflix title 'what happens in vegas' a Series, Movie, or Documentary?",Answer Movie
