Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
bill burr walk your way out,1,Is title 'bill burr walk your way out' original Netflix content?,Answer No,27,"Is Netflix title 'bill burr walk your way out' a Series, Movie, or Documentary?",Answer Stand-up Comedy Special
robinbhood,1,Is title 'robinbhood' original Netflix content?,Answer No,10,"Is Netflix title 'robinbhood' a Series, Movie, or Documentary?","Answer: It is unclear as there is no Netflix title called ""robinbhood."""
mirror mirror  espejo espejo,1,Is title 'mirror mirror  espejo espejo' original Netflix content?,Answer No,28,"Is Netflix title 'mirror mirror  espejo espejo' a Series, Movie, or Documentary?",Answer Movie
the lost case,1,Is title 'the lost case' original Netflix content?,Answer: No,13,"Is Netflix title 'the lost case' a Series, Movie, or Documentary?",Answer: Series
blessed boys  la santa piccola,1,Is title 'blessed boys  la santa piccola' original Netflix content?,Answer: No,30,"Is Netflix title 'blessed boys  la santa piccola' a Series, Movie, or Documentary?",Answer Series
lilla spket laban,1,Is title 'lilla spket laban' original Netflix content?,Answer No,17,"Is Netflix title 'lilla spket laban' a Series, Movie, or Documentary?",Answer: Series
country ever after,1,Is title 'country ever after' original Netflix content?,Answer Yes,18,"Is Netflix title 'country ever after' a Series, Movie, or Documentary?",Answer Series
come dine with me series 13,1,Is title 'come dine with me series 13' original Netflix content?,Answer No,27,"Is Netflix title 'come dine with me series 13' a Series, Movie, or Documentary?",Answer Series
dota dragons blood book 2,1,Is title 'dota dragons blood book 2' original Netflix content?,Answer Yes,25,"Is Netflix title 'dota dragons blood book 2' a Series, Movie, or Documentary?",Answer Series
north of the sun  nordfor sola,1,Is title 'north of the sun  nordfor sola' original Netflix content?,Answer No,30,"Is Netflix title 'north of the sun  nordfor sola' a Series, Movie, or Documentary?",Answer Documentary
history of swear words,1,Is title 'history of swear words' original Netflix content?,Answer Yes,22,"Is Netflix title 'history of swear words' a Series, Movie, or Documentary?",Answer Series
nothing serious,1,Is title 'nothing serious' original Netflix content?,Answer: No,15,"Is Netflix title 'nothing serious' a Series, Movie, or Documentary?","Answer: It could be a Series or Movie, without more specific information it is difficult to determine."
hello jadoo 2016,1,Is title 'hello jadoo 2016' original Netflix content?,Answer: No,16,"Is Netflix title 'hello jadoo 2016' a Series, Movie, or Documentary?",Answer Movie
sinbad legend of the seven seas,1,Is title 'sinbad legend of the seven seas' original Netflix content?,Answer No,31,"Is Netflix title 'sinbad legend of the seven seas' a Series, Movie, or Documentary?",Answer Movie
memoir of a murderer,1,Is title 'memoir of a murderer' original Netflix content?,Answer No,20,"Is Netflix title 'memoir of a murderer' a Series, Movie, or Documentary?",Answer Movie
katt williams world war iii,1,Is title 'katt williams world war iii' original Netflix content?,Answer No,27,"Is Netflix title 'katt williams world war iii' a Series, Movie, or Documentary?",Answer Movie
kabukicho love hotel,1,Is title 'kabukicho love hotel' original Netflix content?,Answer No,20,"Is Netflix title 'kabukicho love hotel' a Series, Movie, or Documentary?",Answer Movie
micky flanagan back in the game,1,Is title 'micky flanagan back in the game' original Netflix content?,Answer No,31,"Is Netflix title 'micky flanagan back in the game' a Series, Movie, or Documentary?",Answer Series
the wiggles world,1,Is title 'the wiggles world' original Netflix content?,Answer No,17,"Is Netflix title 'the wiggles world' a Series, Movie, or Documentary?",Answer Series
the big show show christmas,1,Is title 'the big show show christmas' original Netflix content?,Answer Yes,27,"Is Netflix title 'the big show show christmas' a Series, Movie, or Documentary?",Answer Series
kulipari dream walker,1,Is title 'kulipari dream walker' original Netflix content?,Answer Yes,21,"Is Netflix title 'kulipari dream walker' a Series, Movie, or Documentary?",Answer Series
last wolves  serigala terakhir,1,Is title 'last wolves  serigala terakhir' original Netflix content?,Answer: No,30,"Is Netflix title 'last wolves  serigala terakhir' a Series, Movie, or Documentary?",Answer: Movie
scoop,1,Is title 'scoop' original Netflix content?,Answer No,5,"Is Netflix title 'scoop' a Series, Movie, or Documentary?",Answer Movie
the white princess,1,Is title 'the white princess' original Netflix content?,Answer No,18,"Is Netflix title 'the white princess' a Series, Movie, or Documentary?",Answer Series
game over tamil version 2019,1,Is title 'game over tamil version 2019' original Netflix content?,Answer No,28,"Is Netflix title 'game over tamil version 2019' a Series, Movie, or Documentary?",Answer Movie
the threesome  le trip  trois,1,Is title 'the threesome  le trip  trois' original Netflix content?,Answer: No,29,"Is Netflix title 'the threesome  le trip  trois' a Series, Movie, or Documentary?",Answer Movie
gasohug,1,Is title 'gasohug' original Netflix content?,Answer: No,7,"Is Netflix title 'gasohug' a Series, Movie, or Documentary?",Answer: None of the above.
psychopass  psychopass,1,Is title 'psychopass  psychopass' original Netflix content?,Answer No,22,"Is Netflix title 'psychopass  psychopass' a Series, Movie, or Documentary?",Answer Series
kevin james never dont give up,1,Is title 'kevin james never dont give up' original Netflix content?,Answer No,30,"Is Netflix title 'kevin james never dont give up' a Series, Movie, or Documentary?",Answer Stand-up Comedy Special
paper lives  kattan hayatlar,1,Is title 'paper lives  kattan hayatlar' original Netflix content?,Answer Yes,28,"Is Netflix title 'paper lives  kattan hayatlar' a Series, Movie, or Documentary?",Answer Movie
ijakumo the born again stripper,1,Is title 'ijakumo the born again stripper' original Netflix content?,Answer No,31,"Is Netflix title 'ijakumo the born again stripper' a Series, Movie, or Documentary?",Answer Series
the next skin  la prxima piel,1,Is title 'the next skin  la prxima piel' original Netflix content?,Answer: No,29,"Is Netflix title 'the next skin  la prxima piel' a Series, Movie, or Documentary?",Answer Movie
before monday  prima di luned,1,Is title 'before monday  prima di luned' original Netflix content?,Answer: No,29,"Is Netflix title 'before monday  prima di luned' a Series, Movie, or Documentary?",Answer Movie
the conman   1999   1999,1,Is title 'the conman   1999   1999' original Netflix content?,Answer: No,24,"Is Netflix title 'the conman   1999   1999' a Series, Movie, or Documentary?",Answer Movie
june again,1,Is title 'june again' original Netflix content?,Answer Yes,10,"Is Netflix title 'june again' a Series, Movie, or Documentary?",Answer Movie
ip man kung fu master,1,Is title 'ip man kung fu master' original Netflix content?,Answer No,21,"Is Netflix title 'ip man kung fu master' a Series, Movie, or Documentary?",Answer Movie
yakitori soldiers of misfortune,1,Is title 'yakitori soldiers of misfortune' original Netflix content?,Answer: No,31,"Is Netflix title 'yakitori soldiers of misfortune' a Series, Movie, or Documentary?",Answer Series
the last man on earth  el ltimo hombre sobre la tierra,1,Is title 'the last man on earth  el ltimo hombre sobre la tierra' original Netflix content?,Answer No,54,"Is Netflix title 'the last man on earth  el ltimo hombre sobre la tierra' a Series, Movie, or Documentary?",Answer Series
bobo dormouse volume 5  bobo siebenschlfer staffel 5,1,Is title 'bobo dormouse volume 5  bobo siebenschlfer staffel 5' original Netflix content?,Answer: No,52,"Is Netflix title 'bobo dormouse volume 5  bobo siebenschlfer staffel 5' a Series, Movie, or Documentary?",Answer Series
gonzaga  de pai pra filho  gonzaga  de pai para filho,1,Is title 'gonzaga  de pai pra filho  gonzaga  de pai para filho' original Netflix content?,Answer No,53,"Is Netflix title 'gonzaga  de pai pra filho  gonzaga  de pai para filho' a Series, Movie, or Documentary?",Answer Movie
jojos bizarre adventure golden wind,1,Is title 'jojos bizarre adventure golden wind' original Netflix content?,Answer No,35,"Is Netflix title 'jojos bizarre adventure golden wind' a Series, Movie, or Documentary?",Answer Series
women of the night,1,Is title 'women of the night' original Netflix content?,Answer: Yes,18,"Is Netflix title 'women of the night' a Series, Movie, or Documentary?",Answer Series
deaw13 udom taephanich stand up comedy show   13,1,Is title 'deaw13 udom taephanich stand up comedy show   13' original Netflix content?,Answer: No,48,"Is Netflix title 'deaw13 udom taephanich stand up comedy show   13' a Series, Movie, or Documentary?",Answer Series
once upon a time in china ii,1,Is title 'once upon a time in china ii' original Netflix content?,Answer No,28,"Is Netflix title 'once upon a time in china ii' a Series, Movie, or Documentary?",Answer Movie
the snow girl,1,Is title 'the snow girl' original Netflix content?,Answer: No,13,"Is Netflix title 'the snow girl' a Series, Movie, or Documentary?",Answer Movie
fullmetal alchemist the final alchemy,1,Is title 'fullmetal alchemist the final alchemy' original Netflix content?,Answer No,37,"Is Netflix title 'fullmetal alchemist the final alchemy' a Series, Movie, or Documentary?",Answer Movie
the seven deadly sins dragons judgement,1,Is title 'the seven deadly sins dragons judgement' original Netflix content?,Answer Yes,39,"Is Netflix title 'the seven deadly sins dragons judgement' a Series, Movie, or Documentary?",Answer Series
