Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
the farewell 2019,1,Is title 'the farewell 2019' original Netflix content?,Answer No,17,"Is Netflix title 'the farewell 2019' a Series, Movie, or Documentary?",Answer Movie
liar liar vampire,1,Is title 'liar liar vampire' original Netflix content?,Answer No,17,"Is Netflix title 'liar liar vampire' a Series, Movie, or Documentary?",Answer Movie
furie  hai phng,1,Is title 'furie  hai phng' original Netflix content?,Answer No,15,"Is Netflix title 'furie  hai phng' a Series, Movie, or Documentary?",Answer Movie
true winter wishes,1,Is title 'true winter wishes' original Netflix content?,Answer: No,18,"Is Netflix title 'true winter wishes' a Series, Movie, or Documentary?",Answer Movie
the next three days,1,Is title 'the next three days' original Netflix content?,Answer No,19,"Is Netflix title 'the next three days' a Series, Movie, or Documentary?",Answer Movie
shameless series 4,1,Is title 'shameless series 4' original Netflix content?,Answer No,18,"Is Netflix title 'shameless series 4' a Series, Movie, or Documentary?",Answer Series
student of the year,1,Is title 'student of the year' original Netflix content?,Answer No,19,"Is Netflix title 'student of the year' a Series, Movie, or Documentary?",Answer Movie
the desire,1,Is title 'the desire' original Netflix content?,Answer: No,10,"Is Netflix title 'the desire' a Series, Movie, or Documentary?",Answer: Movie
jje  vinterviken,1,Is title 'jje  vinterviken' original Netflix content?,Answer: No,16,"Is Netflix title 'jje  vinterviken' a Series, Movie, or Documentary?",Answer: Movie
reality z,1,Is title 'reality z' original Netflix content?,Answer Yes,9,"Is Netflix title 'reality z' a Series, Movie, or Documentary?",Answer Series
wednesday,1,Is title 'wednesday' original Netflix content?,Answer: Yes,9,"Is Netflix title 'wednesday' a Series, Movie, or Documentary?",Answer Series
extreme job,1,Is title 'extreme job' original Netflix content?,Answer No,11,"Is Netflix title 'extreme job' a Series, Movie, or Documentary?",Answer Movie
operaes especiais,1,Is title 'operaes especiais' original Netflix content?,Answer: Yes,17,"Is Netflix title 'operaes especiais' a Series, Movie, or Documentary?",Answer Series
the toy  le jouet,1,Is title 'the toy  le jouet' original Netflix content?,Answer No,17,"Is Netflix title 'the toy  le jouet' a Series, Movie, or Documentary?",Answer Movie
shaandaar,1,Is title 'shaandaar' original Netflix content?,Answer No,9,"Is Netflix title 'shaandaar' a Series, Movie, or Documentary?",Answer Movie
home game,1,Is title 'home game' original Netflix content?,Answer Yes,9,"Is Netflix title 'home game' a Series, Movie, or Documentary?",Answer Series
saving private ryan,1,Is title 'saving private ryan' original Netflix content?,Answer No,19,"Is Netflix title 'saving private ryan' a Series, Movie, or Documentary?",Answer Movie
exhibit a,1,Is title 'exhibit a' original Netflix content?,Answer Yes,9,"Is Netflix title 'exhibit a' a Series, Movie, or Documentary?",Answer Series
pet stars,1,Is title 'pet stars' original Netflix content?,Answer Yes,9,"Is Netflix title 'pet stars' a Series, Movie, or Documentary?",Answer Series
reminiscence 2021,1,Is title 'reminiscence 2021' original Netflix content?,Answer No,17,"Is Netflix title 'reminiscence 2021' a Series, Movie, or Documentary?",Answer Movie
peep show series 2,1,Is title 'peep show series 2' original Netflix content?,Answer No,18,"Is Netflix title 'peep show series 2' a Series, Movie, or Documentary?",Answer Series
loca por el trabajo,1,Is title 'loca por el trabajo' original Netflix content?,Answer No,19,"Is Netflix title 'loca por el trabajo' a Series, Movie, or Documentary?",Answer Series
the sparks brothers,1,Is title 'the sparks brothers' original Netflix content?,Answer No,19,"Is Netflix title 'the sparks brothers' a Series, Movie, or Documentary?",Answer Documentary
the revenant 2015,1,Is title 'the revenant 2015' original Netflix content?,Answer No,17,"Is Netflix title 'the revenant 2015' a Series, Movie, or Documentary?",Answer Movie
the hero  de held,1,Is title 'the hero  de held' original Netflix content?,Answer No,17,"Is Netflix title 'the hero  de held' a Series, Movie, or Documentary?",Answer Movie
come home,1,Is title 'come home' original Netflix content?,Answer: No,9,"Is Netflix title 'come home' a Series, Movie, or Documentary?",Answer Series
the immaculate room,1,Is title 'the immaculate room' original Netflix content?,Answer: No,19,"Is Netflix title 'the immaculate room' a Series, Movie, or Documentary?",Answer Movie
here comes the boom,1,Is title 'here comes the boom' original Netflix content?,Answer No,19,"Is Netflix title 'here comes the boom' a Series, Movie, or Documentary?",Answer Movie
el camino christmas,1,Is title 'el camino christmas' original Netflix content?,Answer Yes,19,"Is Netflix title 'el camino christmas' a Series, Movie, or Documentary?",Answer Movie
wish upon a unicorn,1,Is title 'wish upon a unicorn' original Netflix content?,Answer No,19,"Is Netflix title 'wish upon a unicorn' a Series, Movie, or Documentary?",Answer Movie
project mc part 3,1,Is title 'project mc part 3' original Netflix content?,Answer Yes,17,"Is Netflix title 'project mc part 3' a Series, Movie, or Documentary?",Answer Series
3 ninjas kick back,1,Is title '3 ninjas kick back' original Netflix content?,Answer No,18,"Is Netflix title '3 ninjas kick back' a Series, Movie, or Documentary?",Answer Movie
intolerable cruelty,1,Is title 'intolerable cruelty' original Netflix content?,Answer No,19,"Is Netflix title 'intolerable cruelty' a Series, Movie, or Documentary?",Answer Movie
aliens in the attic,1,Is title 'aliens in the attic' original Netflix content?,Answer No,19,"Is Netflix title 'aliens in the attic' a Series, Movie, or Documentary?",Answer Movie
team kaylie part 1,1,Is title 'team kaylie part 1' original Netflix content?,Answer Yes,18,"Is Netflix title 'team kaylie part 1' a Series, Movie, or Documentary?",Answer Series
paranormal activity,1,Is title 'paranormal activity' original Netflix content?,Answer No,19,"Is Netflix title 'paranormal activity' a Series, Movie, or Documentary?",Answer Movie
a family man 2016,1,Is title 'a family man 2016' original Netflix content?,Answer No,17,"Is Netflix title 'a family man 2016' a Series, Movie, or Documentary?",Answer Movie
annabelle creation,1,Is title 'annabelle creation' original Netflix content?,Answer No,18,"Is Netflix title 'annabelle creation' a Series, Movie, or Documentary?",Answer Movie
shameless series 7,1,Is title 'shameless series 7' original Netflix content?,Answer No,18,"Is Netflix title 'shameless series 7' a Series, Movie, or Documentary?",Answer Series
cest tout pour moi,1,Is title 'cest tout pour moi' original Netflix content?,Answer No,18,"Is Netflix title 'cest tout pour moi' a Series, Movie, or Documentary?",Answer Movie
the way back 2020,1,Is title 'the way back 2020' original Netflix content?,Answer No,17,"Is Netflix title 'the way back 2020' a Series, Movie, or Documentary?",Answer Movie
bodyguard,1,Is title 'bodyguard' original Netflix content?,Answer No,9,"Is Netflix title 'bodyguard' a Series, Movie, or Documentary?",Answer Series
the legend of zorro,1,Is title 'the legend of zorro' original Netflix content?,Answer No,19,"Is Netflix title 'the legend of zorro' a Series, Movie, or Documentary?",Answer Movie
the intruder 2019,1,Is title 'the intruder 2019' original Netflix content?,Answer No,17,"Is Netflix title 'the intruder 2019' a Series, Movie, or Documentary?",Answer Movie
walking tall 2004,1,Is title 'walking tall 2004' original Netflix content?,Answer No,17,"Is Netflix title 'walking tall 2004' a Series, Movie, or Documentary?",Answer Movie
urban myths,1,Is title 'urban myths' original Netflix content?,Answer No,11,"Is Netflix title 'urban myths' a Series, Movie, or Documentary?",Answer Series
champions,1,Is title 'champions' original Netflix content?,Answer No,9,"Is Netflix title 'champions' a Series, Movie, or Documentary?",Answer Series
xo kitty,1,Is title 'xo kitty' original Netflix content?,Answer: No,8,"Is Netflix title 'xo kitty' a Series, Movie, or Documentary?",Answer Series
the heartbreak club,1,Is title 'the heartbreak club' original Netflix content?,Answer: No,19,"Is Netflix title 'the heartbreak club' a Series, Movie, or Documentary?",Answer Movie
exception,1,Is title 'exception' original Netflix content?,Answer: No,9,"Is Netflix title 'exception' a Series, Movie, or Documentary?",Answer Movie
the silver stallion,1,Is title 'the silver stallion' original Netflix content?,Answer No,19,"Is Netflix title 'the silver stallion' a Series, Movie, or Documentary?",Answer Movie
conan the destroyer,1,Is title 'conan the destroyer' original Netflix content?,Answer No,19,"Is Netflix title 'conan the destroyer' a Series, Movie, or Documentary?",Answer Movie
project mc part 1,1,Is title 'project mc part 1' original Netflix content?,Answer Yes,17,"Is Netflix title 'project mc part 1' a Series, Movie, or Documentary?",Answer Series
ghostbusters 1984,1,Is title 'ghostbusters 1984' original Netflix content?,Answer No,17,"Is Netflix title 'ghostbusters 1984' a Series, Movie, or Documentary?",Answer Movie
shameless series 9,1,Is title 'shameless series 9' original Netflix content?,Answer No,18,"Is Netflix title 'shameless series 9' a Series, Movie, or Documentary?",Answer Series
dont let go 2019,1,Is title 'dont let go 2019' original Netflix content?,Answer No,16,"Is Netflix title 'dont let go 2019' a Series, Movie, or Documentary?",Answer Movie
the sentinel 2006,1,Is title 'the sentinel 2006' original Netflix content?,Answer No,17,"Is Netflix title 'the sentinel 2006' a Series, Movie, or Documentary?",Answer Movie
true beauty,1,Is title 'true beauty' original Netflix content?,Answer No,11,"Is Netflix title 'true beauty' a Series, Movie, or Documentary?",Answer Series
