Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
season of the witch 2011,1,Is title 'season of the witch 2011' original Netflix content?,Answer No,24,"Is Netflix title 'season of the witch 2011' a Series, Movie, or Documentary?",Answer Movie
call the midwife series 4,1,Is title 'call the midwife series 4' original Netflix content?,Answer No,25,"Is Netflix title 'call the midwife series 4' a Series, Movie, or Documentary?",Answer Series
the stronghold  bac nord,1,Is title 'the stronghold  bac nord' original Netflix content?,Answer No,24,"Is Netflix title 'the stronghold  bac nord' a Series, Movie, or Documentary?",Answer Movie
thoroughbred  purasangre,1,Is title 'thoroughbred  purasangre' original Netflix content?,Answer No,24,"Is Netflix title 'thoroughbred  purasangre' a Series, Movie, or Documentary?",Answer Movie
it takes a man and a woman,1,Is title 'it takes a man and a woman' original Netflix content?,Answer No,26,"Is Netflix title 'it takes a man and a woman' a Series, Movie, or Documentary?",Answer Movie
catch me if you can 2002,1,Is title 'catch me if you can 2002' original Netflix content?,Answer No,24,"Is Netflix title 'catch me if you can 2002' a Series, Movie, or Documentary?",Answer Movie
destination wedding 2018,1,Is title 'destination wedding 2018' original Netflix content?,Answer No,24,"Is Netflix title 'destination wedding 2018' a Series, Movie, or Documentary?",Answer Movie
tree house tales,1,Is title 'tree house tales' original Netflix content?,Answer: No,16,"Is Netflix title 'tree house tales' a Series, Movie, or Documentary?",Answer Series
the nutty professor 1996,1,Is title 'the nutty professor 1996' original Netflix content?,Answer No,24,"Is Netflix title 'the nutty professor 1996' a Series, Movie, or Documentary?",Answer Movie
boomerang family,1,Is title 'boomerang family' original Netflix content?,Answer No,16,"Is Netflix title 'boomerang family' a Series, Movie, or Documentary?",Answer Movie
call the midwife series 6,1,Is title 'call the midwife series 6' original Netflix content?,Answer No,25,"Is Netflix title 'call the midwife series 6' a Series, Movie, or Documentary?",Answer Series
parttime spy,1,Is title 'parttime spy' original Netflix content?,Answer No,12,"Is Netflix title 'parttime spy' a Series, Movie, or Documentary?",Answer Movie
once upon a time in mexico,1,Is title 'once upon a time in mexico' original Netflix content?,Answer No,26,"Is Netflix title 'once upon a time in mexico' a Series, Movie, or Documentary?",Answer Movie
mo amer mohammed in texas,1,Is title 'mo amer mohammed in texas' original Netflix content?,Answer No,25,"Is Netflix title 'mo amer mohammed in texas' a Series, Movie, or Documentary?",Answer Stand-up Comedy Special
kevin hart let me explain,1,Is title 'kevin hart let me explain' original Netflix content?,Answer No,25,"Is Netflix title 'kevin hart let me explain' a Series, Movie, or Documentary?",Answer Movie
the city of violence,1,Is title 'the city of violence' original Netflix content?,Answer No,20,"Is Netflix title 'the city of violence' a Series, Movie, or Documentary?",Answer Movie
word party songs,1,Is title 'word party songs' original Netflix content?,Answer Yes,16,"Is Netflix title 'word party songs' a Series, Movie, or Documentary?",Answer Series
starting over again 2014,1,Is title 'starting over again 2014' original Netflix content?,Answer No,24,"Is Netflix title 'starting over again 2014' a Series, Movie, or Documentary?",Answer Movie
aj and the queen,1,Is title 'aj and the queen' original Netflix content?,Answer Yes,16,"Is Netflix title 'aj and the queen' a Series, Movie, or Documentary?",Answer Series
lesson of the evil,1,Is title 'lesson of the evil' original Netflix content?,Answer No,18,"Is Netflix title 'lesson of the evil' a Series, Movie, or Documentary?",Answer Movie
leslie jones time machine,1,Is title 'leslie jones time machine' original Netflix content?,Answer No,25,"Is Netflix title 'leslie jones time machine' a Series, Movie, or Documentary?",Answer Movie
high score limited series,1,Is title 'high score limited series' original Netflix content?,Answer Yes,25,"Is Netflix title 'high score limited series' a Series, Movie, or Documentary?",Answer Series
the ghost and the tout too,1,Is title 'the ghost and the tout too' original Netflix content?,Answer No,26,"Is Netflix title 'the ghost and the tout too' a Series, Movie, or Documentary?",Answer Movie
arn riket vid vgens slut,1,Is title 'arn riket vid vgens slut' original Netflix content?,Answer No,24,"Is Netflix title 'arn riket vid vgens slut' a Series, Movie, or Documentary?",Answer Series
only eline  alleen eline,1,Is title 'only eline  alleen eline' original Netflix content?,Answer: No,24,"Is Netflix title 'only eline  alleen eline' a Series, Movie, or Documentary?",Answer Series
socorro virei uma garota,1,Is title 'socorro virei uma garota' original Netflix content?,Answer: Yes,24,"Is Netflix title 'socorro virei uma garota' a Series, Movie, or Documentary?",Answer Movie
kongsi lu langsi lu mati,1,Is title 'kongsi lu langsi lu mati' original Netflix content?,Answer: No,24,"Is Netflix title 'kongsi lu langsi lu mati' a Series, Movie, or Documentary?",Answer Movie
possession  forbannelsen,1,Is title 'possession  forbannelsen' original Netflix content?,Answer: No,24,"Is Netflix title 'possession  forbannelsen' a Series, Movie, or Documentary?",Answer: Movie
memories of love,1,Is title 'memories of love' original Netflix content?,Answer No,16,"Is Netflix title 'memories of love' a Series, Movie, or Documentary?",Answer Series
human playground,1,Is title 'human playground' original Netflix content?,Answer No,16,"Is Netflix title 'human playground' a Series, Movie, or Documentary?",Answer Series
liar game the final stage,1,Is title 'liar game the final stage' original Netflix content?,Answer No,25,"Is Netflix title 'liar game the final stage' a Series, Movie, or Documentary?",Answer Movie
american pie girls rules,1,Is title 'american pie girls rules' original Netflix content?,Answer No,24,"Is Netflix title 'american pie girls rules' a Series, Movie, or Documentary?",Answer Movie
the deed of death  geran,1,Is title 'the deed of death  geran' original Netflix content?,Answer: No,24,"Is Netflix title 'the deed of death  geran' a Series, Movie, or Documentary?",Answer It is unclear as there is no known Netflix title with that exact name.
jim gaffigan mr universe,1,Is title 'jim gaffigan mr universe' original Netflix content?,Answer No,24,"Is Netflix title 'jim gaffigan mr universe' a Series, Movie, or Documentary?",Answer Stand-up Comedy Special
entangled,1,Is title 'entangled' original Netflix content?,Answer: No,9,"Is Netflix title 'entangled' a Series, Movie, or Documentary?",Answer: Series
ningum entra ningum sai,1,Is title 'ningum entra ningum sai' original Netflix content?,Answer: Yes,23,"Is Netflix title 'ningum entra ningum sai' a Series, Movie, or Documentary?",Answer Series
the martha mitchell effect,1,Is title 'the martha mitchell effect' original Netflix content?,Answer: Yes,26,"Is Netflix title 'the martha mitchell effect' a Series, Movie, or Documentary?",Answer Series
stay close limited series,1,Is title 'stay close limited series' original Netflix content?,Answer Yes,25,"Is Netflix title 'stay close limited series' a Series, Movie, or Documentary?",Answer Series
marmalade boy,1,Is title 'marmalade boy' original Netflix content?,Answer No,13,"Is Netflix title 'marmalade boy' a Series, Movie, or Documentary?",Answer Series
camila jam  nome prprio,1,Is title 'camila jam  nome prprio' original Netflix content?,Answer: No,23,"Is Netflix title 'camila jam  nome prprio' a Series, Movie, or Documentary?",Answer Series
cape no 7,1,Is title 'cape no 7' original Netflix content?,Answer No,9,"Is Netflix title 'cape no 7' a Series, Movie, or Documentary?",Answer Movie
if beale street could talk,1,Is title 'if beale street could talk' original Netflix content?,Answer No,26,"Is Netflix title 'if beale street could talk' a Series, Movie, or Documentary?",Answer Movie
shamwari untamed,1,Is title 'shamwari untamed' original Netflix content?,Answer No,16,"Is Netflix title 'shamwari untamed' a Series, Movie, or Documentary?",Answer Series
other world  andere welt,1,Is title 'other world  andere welt' original Netflix content?,Answer: No,24,"Is Netflix title 'other world  andere welt' a Series, Movie, or Documentary?",Answer Series
resident evil retribution,1,Is title 'resident evil retribution' original Netflix content?,Answer No,25,"Is Netflix title 'resident evil retribution' a Series, Movie, or Documentary?",Answer Movie
the incredible hulk 1977,1,Is title 'the incredible hulk 1977' original Netflix content?,Answer No,24,"Is Netflix title 'the incredible hulk 1977' a Series, Movie, or Documentary?",Answer Series
boo bitch limited series,1,Is title 'boo bitch limited series' original Netflix content?,Answer: Yes,24,"Is Netflix title 'boo bitch limited series' a Series, Movie, or Documentary?",Answer Series
the majesty of wolf,1,Is title 'the majesty of wolf' original Netflix content?,Answer No,19,"Is Netflix title 'the majesty of wolf' a Series, Movie, or Documentary?",Answer Series
the surrogate woman,1,Is title 'the surrogate woman' original Netflix content?,Answer: No,19,"Is Netflix title 'the surrogate woman' a Series, Movie, or Documentary?",Answer Movie
jimmy carr funny business,1,Is title 'jimmy carr funny business' original Netflix content?,Answer Yes,25,"Is Netflix title 'jimmy carr funny business' a Series, Movie, or Documentary?",Answer Stand-up Comedy Special
