Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
como nossos pais,1,Is title 'como nossos pais' original Netflix content?,Answer No,16,"Is Netflix title 'como nossos pais' a Series, Movie, or Documentary?",Answer Movie
meus dois amores,1,Is title 'meus dois amores' original Netflix content?,Answer: No,16,"Is Netflix title 'meus dois amores' a Series, Movie, or Documentary?",Answer Series
music and lyrics,1,Is title 'music and lyrics' original Netflix content?,Answer No,16,"Is Netflix title 'music and lyrics' a Series, Movie, or Documentary?",Answer Movie
we own the night,1,Is title 'we own the night' original Netflix content?,Answer No,16,"Is Netflix title 'we own the night' a Series, Movie, or Documentary?",Answer Movie
this time 2016,1,Is title 'this time 2016' original Netflix content?,Answer: No,14,"Is Netflix title 'this time 2016' a Series, Movie, or Documentary?",Answer Series
vaathi kannada,1,Is title 'vaathi kannada' original Netflix content?,Answer No,14,"Is Netflix title 'vaathi kannada' a Series, Movie, or Documentary?","Answer: It is unclear as ""Vaathi Kannada"" does not appear to be a known title on Netflix."
bicentennial man,1,Is title 'bicentennial man' original Netflix content?,Answer No,16,"Is Netflix title 'bicentennial man' a Series, Movie, or Documentary?",Answer Movie
bewitched 2005,1,Is title 'bewitched 2005' original Netflix content?,Answer No,14,"Is Netflix title 'bewitched 2005' a Series, Movie, or Documentary?",Answer Movie
the benchwarmers,1,Is title 'the benchwarmers' original Netflix content?,Answer No,16,"Is Netflix title 'the benchwarmers' a Series, Movie, or Documentary?",Answer Movie
kardeim benim 2,1,Is title 'kardeim benim 2' original Netflix content?,Answer: No,15,"Is Netflix title 'kardeim benim 2' a Series, Movie, or Documentary?",Answer Movie
delete,1,Is title 'delete' original Netflix content?,Answer No,6,"Is Netflix title 'delete' a Series, Movie, or Documentary?",Answer Series
uncharted amazon,1,Is title 'uncharted amazon' original Netflix content?,Answer No,16,"Is Netflix title 'uncharted amazon' a Series, Movie, or Documentary?",Answer Series
peter pan 2003,1,Is title 'peter pan 2003' original Netflix content?,Answer No,14,"Is Netflix title 'peter pan 2003' a Series, Movie, or Documentary?",Answer Movie
uncharted 2022,1,Is title 'uncharted 2022' original Netflix content?,Answer No,14,"Is Netflix title 'uncharted 2022' a Series, Movie, or Documentary?",Answer Movie
next door 2005,1,Is title 'next door 2005' original Netflix content?,Answer No,14,"Is Netflix title 'next door 2005' a Series, Movie, or Documentary?",Answer Movie
leap year 2010,1,Is title 'leap year 2010' original Netflix content?,Answer No,14,"Is Netflix title 'leap year 2010' a Series, Movie, or Documentary?",Answer Movie
the wedding year,1,Is title 'the wedding year' original Netflix content?,Answer No,16,"Is Netflix title 'the wedding year' a Series, Movie, or Documentary?",Answer Movie
operation finale,1,Is title 'operation finale' original Netflix content?,Answer No,16,"Is Netflix title 'operation finale' a Series, Movie, or Documentary?",Answer Movie
miu404,1,Is title 'miu404' original Netflix content?,Answer No,6,"Is Netflix title 'miu404' a Series, Movie, or Documentary?",Answer Series
gumrah,1,Is title 'gumrah' original Netflix content?,Answer No,6,"Is Netflix title 'gumrah' a Series, Movie, or Documentary?",Answer Series
dasara kannada,1,Is title 'dasara kannada' original Netflix content?,Answer No,14,"Is Netflix title 'dasara kannada' a Series, Movie, or Documentary?",Answer Series
days of disaster,1,Is title 'days of disaster' original Netflix content?,Answer: No,16,"Is Netflix title 'days of disaster' a Series, Movie, or Documentary?",Answer Series
motherhood,1,Is title 'motherhood' original Netflix content?,Answer No,10,"Is Netflix title 'motherhood' a Series, Movie, or Documentary?",Answer Movie
rush hour 1998,1,Is title 'rush hour 1998' original Netflix content?,Answer No,14,"Is Netflix title 'rush hour 1998' a Series, Movie, or Documentary?",Answer Movie
little big mouth,1,Is title 'little big mouth' original Netflix content?,Answer No,16,"Is Netflix title 'little big mouth' a Series, Movie, or Documentary?",Answer: Series
long shot 2019,1,Is title 'long shot 2019' original Netflix content?,Answer No,14,"Is Netflix title 'long shot 2019' a Series, Movie, or Documentary?",Answer Movie
the lost husband,1,Is title 'the lost husband' original Netflix content?,Answer No,16,"Is Netflix title 'the lost husband' a Series, Movie, or Documentary?",Answer Movie
the super 2017,1,Is title 'the super 2017' original Netflix content?,Answer No,14,"Is Netflix title 'the super 2017' a Series, Movie, or Documentary?",Answer Movie
think like a man,1,Is title 'think like a man' original Netflix content?,Answer No,16,"Is Netflix title 'think like a man' a Series, Movie, or Documentary?",Answer Movie
the queen 2006,1,Is title 'the queen 2006' original Netflix content?,Answer No,14,"Is Netflix title 'the queen 2006' a Series, Movie, or Documentary?",Answer Movie
the late bloomer,1,Is title 'the late bloomer' original Netflix content?,Answer No,16,"Is Netflix title 'the late bloomer' a Series, Movie, or Documentary?",Answer Movie
the silent enemy,1,Is title 'the silent enemy' original Netflix content?,Answer: No,16,"Is Netflix title 'the silent enemy' a Series, Movie, or Documentary?",Answer Movie
almost christmas,1,Is title 'almost christmas' original Netflix content?,Answer No,16,"Is Netflix title 'almost christmas' a Series, Movie, or Documentary?",Answer Movie
after ever happy,1,Is title 'after ever happy' original Netflix content?,Answer No,16,"Is Netflix title 'after ever happy' a Series, Movie, or Documentary?",Answer Movie
apollo 11 2019,1,Is title 'apollo 11 2019' original Netflix content?,Answer No,14,"Is Netflix title 'apollo 11 2019' a Series, Movie, or Documentary?",Answer Documentary
zero dark thirty,1,Is title 'zero dark thirty' original Netflix content?,Answer No,16,"Is Netflix title 'zero dark thirty' a Series, Movie, or Documentary?",Answer Movie
casting jonbenet,1,Is title 'casting jonbenet' original Netflix content?,Answer Yes,16,"Is Netflix title 'casting jonbenet' a Series, Movie, or Documentary?",Answer Documentary
knallharte jungs,1,Is title 'knallharte jungs' original Netflix content?,Answer No,16,"Is Netflix title 'knallharte jungs' a Series, Movie, or Documentary?",Answer Movie
london boulevard,1,Is title 'london boulevard' original Netflix content?,Answer No,16,"Is Netflix title 'london boulevard' a Series, Movie, or Documentary?",Answer Movie
romance in style,1,Is title 'romance in style' original Netflix content?,Answer: No,16,"Is Netflix title 'romance in style' a Series, Movie, or Documentary?",Answer Series
better watch out,1,Is title 'better watch out' original Netflix content?,Answer No,16,"Is Netflix title 'better watch out' a Series, Movie, or Documentary?",Answer Movie
bhaji in problem,1,Is title 'bhaji in problem' original Netflix content?,Answer No,16,"Is Netflix title 'bhaji in problem' a Series, Movie, or Documentary?",Answer Movie
border,1,Is title 'border' original Netflix content?,Answer No,6,"Is Netflix title 'border' a Series, Movie, or Documentary?",Answer Movie
print the legend,1,Is title 'print the legend' original Netflix content?,Answer No,16,"Is Netflix title 'print the legend' a Series, Movie, or Documentary?",Answer Documentary
bloodshot 2020,1,Is title 'bloodshot 2020' original Netflix content?,Answer No,14,"Is Netflix title 'bloodshot 2020' a Series, Movie, or Documentary?",Answer Movie
weibier im blut,1,Is title 'weibier im blut' original Netflix content?,Answer: No,15,"Is Netflix title 'weibier im blut' a Series, Movie, or Documentary?",Answer: Series
perfect stranger,1,Is title 'perfect stranger' original Netflix content?,Answer No,16,"Is Netflix title 'perfect stranger' a Series, Movie, or Documentary?",Answer Movie
the adam project,1,Is title 'the adam project' original Netflix content?,Answer Yes,16,"Is Netflix title 'the adam project' a Series, Movie, or Documentary?",Answer Movie
unseen,1,Is title 'unseen' original Netflix content?,Answer: Yes,6,"Is Netflix title 'unseen' a Series, Movie, or Documentary?",Answer Series
marmaduke 2010,1,Is title 'marmaduke 2010' original Netflix content?,Answer No,14,"Is Netflix title 'marmaduke 2010' a Series, Movie, or Documentary?",Answer Movie
bratz the movie,1,Is title 'bratz the movie' original Netflix content?,Answer No,15,"Is Netflix title 'bratz the movie' a Series, Movie, or Documentary?",Answer Movie
rocketman 2019,1,Is title 'rocketman 2019' original Netflix content?,Answer No,14,"Is Netflix title 'rocketman 2019' a Series, Movie, or Documentary?",Answer Movie
the yellow birds,1,Is title 'the yellow birds' original Netflix content?,Answer No,16,"Is Netflix title 'the yellow birds' a Series, Movie, or Documentary?",Answer Movie
prisoners 2013,1,Is title 'prisoners 2013' original Netflix content?,Answer No,14,"Is Netflix title 'prisoners 2013' a Series, Movie, or Documentary?",Answer Movie
the guard 2011,1,Is title 'the guard 2011' original Netflix content?,Answer No,14,"Is Netflix title 'the guard 2011' a Series, Movie, or Documentary?",Answer Movie
