Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
elizabeth and margaret love and loyalty,2,Is title 'elizabeth and margaret love and loyalty' original Netflix content?,Answer No,39,"Is Netflix title 'elizabeth and margaret love and loyalty' a Series, Movie, or Documentary?",Answer Documentary
wake up,2,Is title 'wake up' original Netflix content?,Answer: No,7,"Is Netflix title 'wake up' a Series, Movie, or Documentary?",Answer Series
sacred games,2,Is title 'sacred games' original Netflix content?,Answer Yes,12,"Is Netflix title 'sacred games' a Series, Movie, or Documentary?",Answer Series
richie rich,2,Is title 'richie rich' original Netflix content?,Answer Yes,11,"Is Netflix title 'richie rich' a Series, Movie, or Documentary?",Answer Series
the mick,2,Is title 'the mick' original Netflix content?,Answer No,8,"Is Netflix title 'the mick' a Series, Movie, or Documentary?",Answer Series
kota factory,2,Is title 'kota factory' original Netflix content?,Answer No,12,"Is Netflix title 'kota factory' a Series, Movie, or Documentary?",Answer Series
snabba cash,2,Is title 'snabba cash' original Netflix content?,Answer Yes,11,"Is Netflix title 'snabba cash' a Series, Movie, or Documentary?",Answer Series
dismissed,2,Is title 'dismissed' original Netflix content?,Answer No,9,"Is Netflix title 'dismissed' a Series, Movie, or Documentary?",Answer Movie
space force,2,Is title 'space force' original Netflix content?,Answer Yes,11,"Is Netflix title 'space force' a Series, Movie, or Documentary?",Answer Series
trash truck,2,Is title 'trash truck' original Netflix content?,Answer Yes,11,"Is Netflix title 'trash truck' a Series, Movie, or Documentary?",Answer Series
stretch armstrong  the flex fighters,2,Is title 'stretch armstrong  the flex fighters' original Netflix content?,Answer Yes,36,"Is Netflix title 'stretch armstrong  the flex fighters' a Series, Movie, or Documentary?",Answer Series
i will do it in the next life,2,Is title 'i will do it in the next life' original Netflix content?,Answer: No,29,"Is Netflix title 'i will do it in the next life' a Series, Movie, or Documentary?",Answer: Series
first team juventus,2,Is title 'first team juventus' original Netflix content?,Answer Yes,19,"Is Netflix title 'first team juventus' a Series, Movie, or Documentary?",Answer Series
man in love,2,Is title 'man in love' original Netflix content?,Answer No,11,"Is Netflix title 'man in love' a Series, Movie, or Documentary?",Answer Movie
kibaoh klashers,2,Is title 'kibaoh klashers' original Netflix content?,Answer No,15,"Is Netflix title 'kibaoh klashers' a Series, Movie, or Documentary?",Answer Series
