Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
ahane hayaller,1,Is title 'ahane hayaller' original Netflix content?,Answer: No,14,"Is Netflix title 'ahane hayaller' a Series, Movie, or Documentary?",Answer Series
jersey,1,Is title 'jersey' original Netflix content?,Answer: No,6,"Is Netflix title 'jersey' a Series, Movie, or Documentary?","Answer: It could refer to multiple titles on Netflix, so without more specific information, it is unclear whether it is a Series, Movie, or Documentary."
syif malam raya,1,Is title 'syif malam raya' original Netflix content?,Answer: No,15,"Is Netflix title 'syif malam raya' a Series, Movie, or Documentary?",Answer Movie
the bros,1,Is title 'the bros' original Netflix content?,Answer: No,8,"Is Netflix title 'the bros' a Series, Movie, or Documentary?",Answer Movie
fatma,1,Is title 'fatma' original Netflix content?,Answer Yes,5,"Is Netflix title 'fatma' a Series, Movie, or Documentary?",Answer Series
heathers 1989,1,Is title 'heathers 1989' original Netflix content?,Answer No,13,"Is Netflix title 'heathers 1989' a Series, Movie, or Documentary?",Answer Movie
daylight 1996,1,Is title 'daylight 1996' original Netflix content?,Answer No,13,"Is Netflix title 'daylight 1996' a Series, Movie, or Documentary?",Answer Movie
sesuai aplikasi,1,Is title 'sesuai aplikasi' original Netflix content?,Answer Yes,15,"Is Netflix title 'sesuai aplikasi' a Series, Movie, or Documentary?",Answer Series
sri rama rajyam,1,Is title 'sri rama rajyam' original Netflix content?,Answer No,15,"Is Netflix title 'sri rama rajyam' a Series, Movie, or Documentary?",Answer Movie
couples retreat,1,Is title 'couples retreat' original Netflix content?,Answer No,15,"Is Netflix title 'couples retreat' a Series, Movie, or Documentary?",Answer Movie
drag me to hell,1,Is title 'drag me to hell' original Netflix content?,Answer No,15,"Is Netflix title 'drag me to hell' a Series, Movie, or Documentary?",Answer Movie
the host 2013,1,Is title 'the host 2013' original Netflix content?,Answer No,13,"Is Netflix title 'the host 2013' a Series, Movie, or Documentary?",Answer Movie
headshot 2016,1,Is title 'headshot 2016' original Netflix content?,Answer No,13,"Is Netflix title 'headshot 2016' a Series, Movie, or Documentary?",Answer Movie
forsaken 2015,1,Is title 'forsaken 2015' original Netflix content?,Answer No,13,"Is Netflix title 'forsaken 2015' a Series, Movie, or Documentary?",Answer Movie
trese,1,Is title 'trese' original Netflix content?,Answer Yes,5,"Is Netflix title 'trese' a Series, Movie, or Documentary?",Answer Series
curon,1,Is title 'curon' original Netflix content?,Answer Yes,5,"Is Netflix title 'curon' a Series, Movie, or Documentary?",Answer Series
dsp malayalam,1,Is title 'dsp malayalam' original Netflix content?,Answer No,13,"Is Netflix title 'dsp malayalam' a Series, Movie, or Documentary?",Answer Series
danur 2 maddah,1,Is title 'danur 2 maddah' original Netflix content?,Answer No,14,"Is Netflix title 'danur 2 maddah' a Series, Movie, or Documentary?",Answer Movie
what the health,1,Is title 'what the health' original Netflix content?,Answer No,15,"Is Netflix title 'what the health' a Series, Movie, or Documentary?",Answer Documentary
the frighteners,1,Is title 'the frighteners' original Netflix content?,Answer No,15,"Is Netflix title 'the frighteners' a Series, Movie, or Documentary?",Answer Movie
sweet 20 2017,1,Is title 'sweet 20 2017' original Netflix content?,Answer No,13,"Is Netflix title 'sweet 20 2017' a Series, Movie, or Documentary?",Answer Movie
the mule 2018,1,Is title 'the mule 2018' original Netflix content?,Answer No,13,"Is Netflix title 'the mule 2018' a Series, Movie, or Documentary?",Answer Movie
