Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
police in a pod,1,Is title 'police in a pod' original Netflix content?,Answer No,15,"Is Netflix title 'police in a pod' a Series, Movie, or Documentary?",Answer Series
gto great teacher onizuka,1,Is title 'gto great teacher onizuka' original Netflix content?,Answer No,25,"Is Netflix title 'gto great teacher onizuka' a Series, Movie, or Documentary?",Answer Series
brave blue world racing to solve our water crisis,1,Is title 'brave blue world racing to solve our water crisis' original Netflix content?,Answer: No,49,"Is Netflix title 'brave blue world racing to solve our water crisis' a Series, Movie, or Documentary?",Answer Documentary
fantozzi succumbs again  fantozzi subisce ancora,1,Is title 'fantozzi succumbs again  fantozzi subisce ancora' original Netflix content?,Answer No,48,"Is Netflix title 'fantozzi succumbs again  fantozzi subisce ancora' a Series, Movie, or Documentary?",Answer Movie
my family goes viral,1,Is title 'my family goes viral' original Netflix content?,Answer: No,20,"Is Netflix title 'my family goes viral' a Series, Movie, or Documentary?",Answer Series
fantozzi against everyone  fantozzi contro tutti,1,Is title 'fantozzi against everyone  fantozzi contro tutti' original Netflix content?,Answer No,48,"Is Netflix title 'fantozzi against everyone  fantozzi contro tutti' a Series, Movie, or Documentary?",Answer Movie
ace of diamond second,1,Is title 'ace of diamond second' original Netflix content?,Answer No,21,"Is Netflix title 'ace of diamond second' a Series, Movie, or Documentary?",Answer Series
parchs the documentary  parchs el documental,1,Is title 'parchs the documentary  parchs el documental' original Netflix content?,Answer: No,44,"Is Netflix title 'parchs the documentary  parchs el documental' a Series, Movie, or Documentary?",Answer Documentary
tower of god,1,Is title 'tower of god' original Netflix content?,Answer No,12,"Is Netflix title 'tower of god' a Series, Movie, or Documentary?",Answer Series
nodame cantabile the movie i,1,Is title 'nodame cantabile the movie i' original Netflix content?,Answer No,28,"Is Netflix title 'nodame cantabile the movie i' a Series, Movie, or Documentary?",Answer Movie
mob psycho 100 2016,1,Is title 'mob psycho 100 2016' original Netflix content?,Answer No,19,"Is Netflix title 'mob psycho 100 2016' a Series, Movie, or Documentary?",Answer Series
new beginnings,1,Is title 'new beginnings' original Netflix content?,Answer: It is unclear as there are multiple titles with similar names on Netflix.,14,"Is Netflix title 'new beginnings' a Series, Movie, or Documentary?","Answer: It could be either a Series or a Documentary, without more specific information."
wedded worried wearied  sakal sakali saklolo,1,Is title 'wedded worried wearied  sakal sakali saklolo' original Netflix content?,Answer: No,44,"Is Netflix title 'wedded worried wearied  sakal sakali saklolo' a Series, Movie, or Documentary?",Answer: Movie
saving my stupid youth,1,Is title 'saving my stupid youth' original Netflix content?,Answer No,22,"Is Netflix title 'saving my stupid youth' a Series, Movie, or Documentary?",Answer Series
cabins in the wild with dick strawbridge,1,Is title 'cabins in the wild with dick strawbridge' original Netflix content?,Answer No,40,"Is Netflix title 'cabins in the wild with dick strawbridge' a Series, Movie, or Documentary?",Answer Series
futmallscom,1,Is title 'futmallscom' original Netflix content?,Answer No,11,"Is Netflix title 'futmallscom' a Series, Movie, or Documentary?",Answer: None of the above.
farewell mr haffmann  adieu monsieur haffmann,1,Is title 'farewell mr haffmann  adieu monsieur haffmann' original Netflix content?,Answer: No,45,"Is Netflix title 'farewell mr haffmann  adieu monsieur haffmann' a Series, Movie, or Documentary?",Answer Movie
shin yakuza no daimon,1,Is title 'shin yakuza no daimon' original Netflix content?,Answer No,21,"Is Netflix title 'shin yakuza no daimon' a Series, Movie, or Documentary?",Answer: Series
miniforce new heroes rise,1,Is title 'miniforce new heroes rise' original Netflix content?,Answer No,25,"Is Netflix title 'miniforce new heroes rise' a Series, Movie, or Documentary?",Answer Series
