Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
damage 1992,1,Is title 'damage 1992' original Netflix content?,Answer: Yes,11,"Is Netflix title 'damage 1992' a Series, Movie, or Documentary?",Answer Series
eat pray love,1,Is title 'eat pray love' original Netflix content?,Answer No,13,"Is Netflix title 'eat pray love' a Series, Movie, or Documentary?",Answer Movie
jungle 2017,1,Is title 'jungle 2017' original Netflix content?,Answer No,11,"Is Netflix title 'jungle 2017' a Series, Movie, or Documentary?",Answer Movie
gridiron gang,1,Is title 'gridiron gang' original Netflix content?,Answer No,13,"Is Netflix title 'gridiron gang' a Series, Movie, or Documentary?",Answer Movie
crisis 2021,1,Is title 'crisis 2021' original Netflix content?,Answer No,11,"Is Netflix title 'crisis 2021' a Series, Movie, or Documentary?",Answer Movie
kajillionaire,1,Is title 'kajillionaire' original Netflix content?,Answer No,13,"Is Netflix title 'kajillionaire' a Series, Movie, or Documentary?",Answer Movie
de matchmaker,1,Is title 'de matchmaker' original Netflix content?,Answer No,13,"Is Netflix title 'de matchmaker' a Series, Movie, or Documentary?",Answer Movie
kapsalon romy,1,Is title 'kapsalon romy' original Netflix content?,Answer No,13,"Is Netflix title 'kapsalon romy' a Series, Movie, or Documentary?",Answer Movie
arctic 2018,1,Is title 'arctic 2018' original Netflix content?,Answer No,11,"Is Netflix title 'arctic 2018' a Series, Movie, or Documentary?",Answer Movie
tamara vol 2,1,Is title 'tamara vol 2' original Netflix content?,Answer No,12,"Is Netflix title 'tamara vol 2' a Series, Movie, or Documentary?",Answer Movie
tamara 2016,1,Is title 'tamara 2016' original Netflix content?,Answer No,11,"Is Netflix title 'tamara 2016' a Series, Movie, or Documentary?",Answer Movie
vantage point,1,Is title 'vantage point' original Netflix content?,Answer No,13,"Is Netflix title 'vantage point' a Series, Movie, or Documentary?",Answer Movie
the old guard,1,Is title 'the old guard' original Netflix content?,Answer Yes,13,"Is Netflix title 'the old guard' a Series, Movie, or Documentary?",Answer Movie
anjaam 1994,1,Is title 'anjaam 1994' original Netflix content?,Answer No,11,"Is Netflix title 'anjaam 1994' a Series, Movie, or Documentary?",Answer Movie
snatch 2000,1,Is title 'snatch 2000' original Netflix content?,Answer No,11,"Is Netflix title 'snatch 2000' a Series, Movie, or Documentary?",Answer Movie
babies 2010,1,Is title 'babies 2010' original Netflix content?,Answer No,11,"Is Netflix title 'babies 2010' a Series, Movie, or Documentary?",Answer Documentary
violent night,1,Is title 'violent night' original Netflix content?,Answer: No,13,"Is Netflix title 'violent night' a Series, Movie, or Documentary?",Answer Movie
odio lestate,1,Is title 'odio lestate' original Netflix content?,Answer: No,12,"Is Netflix title 'odio lestate' a Series, Movie, or Documentary?",Answer Movie
patati patat,1,Is title 'patati patat' original Netflix content?,Answer No,12,"Is Netflix title 'patati patat' a Series, Movie, or Documentary?",Answer Series
step up china,1,Is title 'step up china' original Netflix content?,Answer No,13,"Is Netflix title 'step up china' a Series, Movie, or Documentary?",Answer Series
julie  julia,1,Is title 'julie  julia' original Netflix content?,Answer No,12,"Is Netflix title 'julie  julia' a Series, Movie, or Documentary?",Answer Movie
over the moon,1,Is title 'over the moon' original Netflix content?,Answer Yes,13,"Is Netflix title 'over the moon' a Series, Movie, or Documentary?",Answer Movie
la hora final,1,Is title 'la hora final' original Netflix content?,Answer: No,13,"Is Netflix title 'la hora final' a Series, Movie, or Documentary?",Answer Movie
alis wedding,1,Is title 'alis wedding' original Netflix content?,Answer No,12,"Is Netflix title 'alis wedding' a Series, Movie, or Documentary?",Answer Movie
mixed by erry,1,Is title 'mixed by erry' original Netflix content?,Answer: No,13,"Is Netflix title 'mixed by erry' a Series, Movie, or Documentary?",Answer Series
shes the man,1,Is title 'shes the man' original Netflix content?,Answer No,12,"Is Netflix title 'shes the man' a Series, Movie, or Documentary?",Answer Movie
kurup tamil,1,Is title 'kurup tamil' original Netflix content?,Answer No,11,"Is Netflix title 'kurup tamil' a Series, Movie, or Documentary?",Answer Movie
ottos eleven,1,Is title 'ottos eleven' original Netflix content?,Answer No,12,"Is Netflix title 'ottos eleven' a Series, Movie, or Documentary?",Answer Movie
faster 2010,1,Is title 'faster 2010' original Netflix content?,Answer No,11,"Is Netflix title 'faster 2010' a Series, Movie, or Documentary?",Answer Movie
no man of god,1,Is title 'no man of god' original Netflix content?,Answer No,13,"Is Netflix title 'no man of god' a Series, Movie, or Documentary?",Answer Movie
mapado,1,Is title 'mapado' original Netflix content?,Answer No,6,"Is Netflix title 'mapado' a Series, Movie, or Documentary?",Answer Movie
animal 2014,1,Is title 'animal 2014' original Netflix content?,Answer No,11,"Is Netflix title 'animal 2014' a Series, Movie, or Documentary?",Answer Movie
