Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
knives out,1,Is title 'knives out' original Netflix content?,Answer No,10,"Is Netflix title 'knives out' a Series, Movie, or Documentary?",Answer Movie
la cantera,1,Is title 'la cantera' original Netflix content?,Answer: No,10,"Is Netflix title 'la cantera' a Series, Movie, or Documentary?",Answer Series
la matassa,1,Is title 'la matassa' original Netflix content?,Answer No,10,"Is Netflix title 'la matassa' a Series, Movie, or Documentary?",Answer Movie
le comiche,1,Is title 'le comiche' original Netflix content?,Answer No,10,"Is Netflix title 'le comiche' a Series, Movie, or Documentary?",Answer Movie
marea alta,1,Is title 'marea alta' original Netflix content?,Answer: Yes,10,"Is Netflix title 'marea alta' a Series, Movie, or Documentary?",Answer Series
fredi,1,Is title 'fredi' original Netflix content?,Answer No,5,"Is Netflix title 'fredi' a Series, Movie, or Documentary?",Answer Movie
sweet girl,1,Is title 'sweet girl' original Netflix content?,Answer Yes,10,"Is Netflix title 'sweet girl' a Series, Movie, or Documentary?",Answer Movie
it follows,1,Is title 'it follows' original Netflix content?,Answer No,10,"Is Netflix title 'it follows' a Series, Movie, or Documentary?",Answer Movie
point blank,1,Is title 'point blank' original Netflix content?,Answer Yes,11,"Is Netflix title 'point blank' a Series, Movie, or Documentary?",Answer Movie
ride 2018,1,Is title 'ride 2018' original Netflix content?,Answer: No,9,"Is Netflix title 'ride 2018' a Series, Movie, or Documentary?",Answer Movie
hero 2015,1,Is title 'hero 2015' original Netflix content?,Answer No,9,"Is Netflix title 'hero 2015' a Series, Movie, or Documentary?",Answer Movie
kongsi raya,1,Is title 'kongsi raya' original Netflix content?,Answer: No,11,"Is Netflix title 'kongsi raya' a Series, Movie, or Documentary?",Answer Movie
ayla 2017,1,Is title 'ayla 2017' original Netflix content?,Answer No,9,"Is Netflix title 'ayla 2017' a Series, Movie, or Documentary?",Answer Movie
august rush,1,Is title 'august rush' original Netflix content?,Answer No,11,"Is Netflix title 'august rush' a Series, Movie, or Documentary?",Answer Movie
four 2011,1,Is title 'four 2011' original Netflix content?,Answer No,9,"Is Netflix title 'four 2011' a Series, Movie, or Documentary?",Answer Movie
le marginal,1,Is title 'le marginal' original Netflix content?,Answer No,11,"Is Netflix title 'le marginal' a Series, Movie, or Documentary?",Answer Movie
front cover,1,Is title 'front cover' original Netflix content?,Answer No,11,"Is Netflix title 'front cover' a Series, Movie, or Documentary?",Answer Movie
gangster ka,1,Is title 'gangster ka' original Netflix content?,Answer No,11,"Is Netflix title 'gangster ka' a Series, Movie, or Documentary?",Answer Series
il campione,1,Is title 'il campione' original Netflix content?,Answer: No,11,"Is Netflix title 'il campione' a Series, Movie, or Documentary?",Answer Movie
wrong place,1,Is title 'wrong place' original Netflix content?,Answer: No,11,"Is Netflix title 'wrong place' a Series, Movie, or Documentary?",Answer Series
girl clock,1,Is title 'girl clock' original Netflix content?,Answer No,10,"Is Netflix title 'girl clock' a Series, Movie, or Documentary?",Answer: It is not a known title on Netflix.
singleholic,1,Is title 'singleholic' original Netflix content?,Answer: No,11,"Is Netflix title 'singleholic' a Series, Movie, or Documentary?",Answer Series
senior year,1,Is title 'senior year' original Netflix content?,Answer: Yes,11,"Is Netflix title 'senior year' a Series, Movie, or Documentary?",Answer Movie
aapla manus,1,Is title 'aapla manus' original Netflix content?,Answer No,11,"Is Netflix title 'aapla manus' a Series, Movie, or Documentary?",Answer Movie
deadly cuts,1,Is title 'deadly cuts' original Netflix content?,Answer: No,11,"Is Netflix title 'deadly cuts' a Series, Movie, or Documentary?",Answer Movie
loft 2010,1,Is title 'loft 2010' original Netflix content?,Answer No,9,"Is Netflix title 'loft 2010' a Series, Movie, or Documentary?",Answer Movie
nacho libre,1,Is title 'nacho libre' original Netflix content?,Answer No,11,"Is Netflix title 'nacho libre' a Series, Movie, or Documentary?",Answer Movie
like father,1,Is title 'like father' original Netflix content?,Answer Yes,11,"Is Netflix title 'like father' a Series, Movie, or Documentary?",Answer Movie
konda polam,1,Is title 'konda polam' original Netflix content?,Answer No,11,"Is Netflix title 'konda polam' a Series, Movie, or Documentary?",Answer: Movie
kl gangster,1,Is title 'kl gangster' original Netflix content?,Answer No,11,"Is Netflix title 'kl gangster' a Series, Movie, or Documentary?",Answer Movie
kibar feyzo,1,Is title 'kibar feyzo' original Netflix content?,Answer No,11,"Is Netflix title 'kibar feyzo' a Series, Movie, or Documentary?",Answer Movie
kein pardon,1,Is title 'kein pardon' original Netflix content?,Answer No,11,"Is Netflix title 'kein pardon' a Series, Movie, or Documentary?",Answer Movie
slumberland,1,Is title 'slumberland' original Netflix content?,Answer Yes,11,"Is Netflix title 'slumberland' a Series, Movie, or Documentary?",Answer Movie
chicken run,1,Is title 'chicken run' original Netflix content?,Answer No,11,"Is Netflix title 'chicken run' a Series, Movie, or Documentary?",Answer Movie
secret city,1,Is title 'secret city' original Netflix content?,Answer No,11,"Is Netflix title 'secret city' a Series, Movie, or Documentary?",Answer Series
