Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
my little pony make your mark chapter 2,1,Is title 'my little pony make your mark chapter 2' original Netflix content?,Answer No,39,"Is Netflix title 'my little pony make your mark chapter 2' a Series, Movie, or Documentary?",Answer Series
hello goodbye and everything in between,1,Is title 'hello goodbye and everything in between' original Netflix content?,Answer No,39,"Is Netflix title 'hello goodbye and everything in between' a Series, Movie, or Documentary?",Answer Movie
kaiji against all rules,1,Is title 'kaiji against all rules' original Netflix content?,Answer No,23,"Is Netflix title 'kaiji against all rules' a Series, Movie, or Documentary?",Answer Series
black space,1,Is title 'black space' original Netflix content?,Answer: Yes,11,"Is Netflix title 'black space' a Series, Movie, or Documentary?",Answer Series
keep sweet pray and obey limited series,1,Is title 'keep sweet pray and obey limited series' original Netflix content?,Answer: No,39,"Is Netflix title 'keep sweet pray and obey limited series' a Series, Movie, or Documentary?",Answer Series
middle school the worst years of my life,1,Is title 'middle school the worst years of my life' original Netflix content?,Answer No,40,"Is Netflix title 'middle school the worst years of my life' a Series, Movie, or Documentary?",Answer Movie
the meyerowitz stories new and selected,1,Is title 'the meyerowitz stories new and selected' original Netflix content?,Answer Yes,39,"Is Netflix title 'the meyerowitz stories new and selected' a Series, Movie, or Documentary?",Answer Movie
risky romance,1,Is title 'risky romance' original Netflix content?,Answer No,13,"Is Netflix title 'risky romance' a Series, Movie, or Documentary?",Answer Series
sun in my eyes  con il sole negli occhi,1,Is title 'sun in my eyes  con il sole negli occhi' original Netflix content?,Answer: No,39,"Is Netflix title 'sun in my eyes  con il sole negli occhi' a Series, Movie, or Documentary?",Answer Movie
the personal history of david copperfield,1,Is title 'the personal history of david copperfield' original Netflix content?,Answer No,41,"Is Netflix title 'the personal history of david copperfield' a Series, Movie, or Documentary?",Answer Movie
adrian dunbars coastal ireland,1,Is title 'adrian dunbars coastal ireland' original Netflix content?,Answer No,30,"Is Netflix title 'adrian dunbars coastal ireland' a Series, Movie, or Documentary?",Answer Series
guilty crown,1,Is title 'guilty crown' original Netflix content?,Answer No,12,"Is Netflix title 'guilty crown' a Series, Movie, or Documentary?",Answer Series
we made a beautiful bouquet,1,Is title 'we made a beautiful bouquet' original Netflix content?,Answer: No,27,"Is Netflix title 'we made a beautiful bouquet' a Series, Movie, or Documentary?",Answer: Series
little white lies  les petits mouchoirs,1,Is title 'little white lies  les petits mouchoirs' original Netflix content?,Answer No,39,"Is Netflix title 'little white lies  les petits mouchoirs' a Series, Movie, or Documentary?",Answer Movie
perfect strangers  perfetti sconosciuti,1,Is title 'perfect strangers  perfetti sconosciuti' original Netflix content?,Answer No,39,"Is Netflix title 'perfect strangers  perfetti sconosciuti' a Series, Movie, or Documentary?",Answer: Movie
winter sun,1,Is title 'winter sun' original Netflix content?,Answer No,10,"Is Netflix title 'winter sun' a Series, Movie, or Documentary?",Answer Series
how to fix a drug scandal limited series,1,Is title 'how to fix a drug scandal limited series' original Netflix content?,Answer Yes,40,"Is Netflix title 'how to fix a drug scandal limited series' a Series, Movie, or Documentary?",Answer Series
skin decision before and after,1,Is title 'skin decision before and after' original Netflix content?,Answer Yes,30,"Is Netflix title 'skin decision before and after' a Series, Movie, or Documentary?",Answer Series
america here we come  america venim,1,Is title 'america here we come  america venim' original Netflix content?,Answer: No,35,"Is Netflix title 'america here we come  america venim' a Series, Movie, or Documentary?",Answer Movie
travelogue earth,1,Is title 'travelogue earth' original Netflix content?,Answer: No,16,"Is Netflix title 'travelogue earth' a Series, Movie, or Documentary?",Answer Series
the princess switch 3 romancing the star,1,Is title 'the princess switch 3 romancing the star' original Netflix content?,Answer Yes,40,"Is Netflix title 'the princess switch 3 romancing the star' a Series, Movie, or Documentary?",Answer Movie
toc  transtornada obsessiva compulsiva,1,Is title 'toc  transtornada obsessiva compulsiva' original Netflix content?,Answer: Yes,38,"Is Netflix title 'toc  transtornada obsessiva compulsiva' a Series, Movie, or Documentary?",Answer Series
pans labyrinth  el laberinto del fauno,1,Is title 'pans labyrinth  el laberinto del fauno' original Netflix content?,Answer No,38,"Is Netflix title 'pans labyrinth  el laberinto del fauno' a Series, Movie, or Documentary?",Answer Movie
ethos,1,Is title 'ethos' original Netflix content?,Answer Yes,5,"Is Netflix title 'ethos' a Series, Movie, or Documentary?",Answer Series
my god father,1,Is title 'my god father' original Netflix content?,Answer: No,13,"Is Netflix title 'my god father' a Series, Movie, or Documentary?",Answer Movie
seeking a friend for the end of the world,1,Is title 'seeking a friend for the end of the world' original Netflix content?,Answer No,41,"Is Netflix title 'seeking a friend for the end of the world' a Series, Movie, or Documentary?",Answer Movie
madam chief minister,1,Is title 'madam chief minister' original Netflix content?,Answer No,20,"Is Netflix title 'madam chief minister' a Series, Movie, or Documentary?",Answer Movie
harold  kumar escape from guantanamo bay,1,Is title 'harold  kumar escape from guantanamo bay' original Netflix content?,Answer No,40,"Is Netflix title 'harold  kumar escape from guantanamo bay' a Series, Movie, or Documentary?",Answer Movie
mumbai delhi mumbai,1,Is title 'mumbai delhi mumbai' original Netflix content?,Answer No,19,"Is Netflix title 'mumbai delhi mumbai' a Series, Movie, or Documentary?",Answer Movie
single lady,1,Is title 'single lady' original Netflix content?,Answer No,11,"Is Netflix title 'single lady' a Series, Movie, or Documentary?",Answer Series
lego jurassic world the indominus escape,1,Is title 'lego jurassic world the indominus escape' original Netflix content?,Answer No,40,"Is Netflix title 'lego jurassic world the indominus escape' a Series, Movie, or Documentary?",Answer Movie
angels of death,1,Is title 'angels of death' original Netflix content?,Answer No,15,"Is Netflix title 'angels of death' a Series, Movie, or Documentary?",Answer Series
the new adventures of lassie,1,Is title 'the new adventures of lassie' original Netflix content?,Answer No,28,"Is Netflix title 'the new adventures of lassie' a Series, Movie, or Documentary?",Answer Series
dad in training  tout pour tre heureux,1,Is title 'dad in training  tout pour tre heureux' original Netflix content?,Answer No,38,"Is Netflix title 'dad in training  tout pour tre heureux' a Series, Movie, or Documentary?",Answer Movie
