Clean_Title,Title_Counts,Clean_Title_Prompt,is_original,Clean_Title_Char_Len,Content_Type_Prompt,content_type
switched,1,Is title 'switched' original Netflix content?,Answer Yes,8,"Is Netflix title 'switched' a Series, Movie, or Documentary?",Answer Series
trollhunters tales of arcadia part 3,1,Is title 'trollhunters tales of arcadia part 3' original Netflix content?,Answer Yes,36,"Is Netflix title 'trollhunters tales of arcadia part 3' a Series, Movie, or Documentary?",Answer Series
king and the clown,1,Is title 'king and the clown' original Netflix content?,Answer No,18,"Is Netflix title 'king and the clown' a Series, Movie, or Documentary?",Answer Movie
tony parker the final shot,1,Is title 'tony parker the final shot' original Netflix content?,Answer No,26,"Is Netflix title 'tony parker the final shot' a Series, Movie, or Documentary?",Answer Documentary
the last kingdom seven kings must die,1,Is title 'the last kingdom seven kings must die' original Netflix content?,Answer No,37,"Is Netflix title 'the last kingdom seven kings must die' a Series, Movie, or Documentary?",Answer Series
mumbai mafia police vs the underworld,1,Is title 'mumbai mafia police vs the underworld' original Netflix content?,Answer: No,37,"Is Netflix title 'mumbai mafia police vs the underworld' a Series, Movie, or Documentary?",Answer Series
gogo dino explorers 3    3,1,Is title 'gogo dino explorers 3    3' original Netflix content?,Answer: No,26,"Is Netflix title 'gogo dino explorers 3    3' a Series, Movie, or Documentary?",Answer Series
gogo dino explorers 1    1,1,Is title 'gogo dino explorers 1    1' original Netflix content?,Answer: No,26,"Is Netflix title 'gogo dino explorers 1    1' a Series, Movie, or Documentary?",Answer Series
monty pythons flying circus series 2,1,Is title 'monty pythons flying circus series 2' original Netflix content?,Answer No,36,"Is Netflix title 'monty pythons flying circus series 2' a Series, Movie, or Documentary?",Answer Series
robbing mussolini  rapiniamo il duce,1,Is title 'robbing mussolini  rapiniamo il duce' original Netflix content?,Answer No,36,"Is Netflix title 'robbing mussolini  rapiniamo il duce' a Series, Movie, or Documentary?",Answer Documentary
abschussfahrt  vier ist einer zu voll,1,Is title 'abschussfahrt  vier ist einer zu voll' original Netflix content?,Answer No,37,"Is Netflix title 'abschussfahrt  vier ist einer zu voll' a Series, Movie, or Documentary?",Answer Movie
waffles  mochis restaurant,1,Is title 'waffles  mochis restaurant' original Netflix content?,Answer Yes,26,"Is Netflix title 'waffles  mochis restaurant' a Series, Movie, or Documentary?",Answer Series
david a arnold it aint for the weak,1,Is title 'david a arnold it aint for the weak' original Netflix content?,Answer: Yes,35,"Is Netflix title 'david a arnold it aint for the weak' a Series, Movie, or Documentary?",Answer Documentary
mondays in the sun  los lunes al sol,1,Is title 'mondays in the sun  los lunes al sol' original Netflix content?,Answer No,36,"Is Netflix title 'mondays in the sun  los lunes al sol' a Series, Movie, or Documentary?",Answer Movie
coming out colton,1,Is title 'coming out colton' original Netflix content?,Answer Yes,17,"Is Netflix title 'coming out colton' a Series, Movie, or Documentary?",Answer Documentary
roman empire commodus reign of blood,1,Is title 'roman empire commodus reign of blood' original Netflix content?,Answer Yes,36,"Is Netflix title 'roman empire commodus reign of blood' a Series, Movie, or Documentary?",Answer Series
my golden kids 2022    2022,1,Is title 'my golden kids 2022    2022' original Netflix content?,Answer: No,27,"Is Netflix title 'my golden kids 2022    2022' a Series, Movie, or Documentary?",Answer Series
marshland  la isla mnima,1,Is title 'marshland  la isla mnima' original Netflix content?,Answer No,24,"Is Netflix title 'marshland  la isla mnima' a Series, Movie, or Documentary?",Answer Movie
firedrake the silver dragon,1,Is title 'firedrake the silver dragon' original Netflix content?,Answer No,27,"Is Netflix title 'firedrake the silver dragon' a Series, Movie, or Documentary?",Answer Movie
pedro el escamoso,1,Is title 'pedro el escamoso' original Netflix content?,Answer No,17,"Is Netflix title 'pedro el escamoso' a Series, Movie, or Documentary?",Answer Series
ontdek de wereld met nijntje,1,Is title 'ontdek de wereld met nijntje' original Netflix content?,Answer: No,28,"Is Netflix title 'ontdek de wereld met nijntje' a Series, Movie, or Documentary?",Answer Series
searching for bobby fischer,1,Is title 'searching for bobby fischer' original Netflix content?,Answer No,27,"Is Netflix title 'searching for bobby fischer' a Series, Movie, or Documentary?",Answer Movie
muqaddar ka faisla,1,Is title 'muqaddar ka faisla' original Netflix content?,Answer No,18,"Is Netflix title 'muqaddar ka faisla' a Series, Movie, or Documentary?",Answer Movie
fishbowl wives,1,Is title 'fishbowl wives' original Netflix content?,Answer No,14,"Is Netflix title 'fishbowl wives' a Series, Movie, or Documentary?",Answer Series
bleach 2004 arrancar vs soul reaper,1,Is title 'bleach 2004 arrancar vs soul reaper' original Netflix content?,Answer No,35,"Is Netflix title 'bleach 2004 arrancar vs soul reaper' a Series, Movie, or Documentary?",Answer Series
half blue sky part 5,1,Is title 'half blue sky part 5' original Netflix content?,Answer: No,20,"Is Netflix title 'half blue sky part 5' a Series, Movie, or Documentary?",Answer Series
if i were a boy  si jtais un homme,1,Is title 'if i were a boy  si jtais un homme' original Netflix content?,Answer: No,34,"Is Netflix title 'if i were a boy  si jtais un homme' a Series, Movie, or Documentary?",Answer Movie
